business_id,business_name,categories,business_stars,business_review_count,avg_review_stars,review_count_in_data,divergence_score,stars_norm,log_rc_norm,quadrant,date_first,date_last
-2xzyHY8uWnLmyQkkfwMuQ,El Quetzal,"Shopping, Flowers & Gifts, Gift Shops, Women's Clothing, Fashion, Jewelry",4.0,16,3.6666666666666665,15,0.6935224158965042,0.75,0.05647758410349576,High Q / Low Pop (Oportunidad),2008-06-04 00:28:13,2019-05-25 12:40:19
-32hOCwsuKd04WO-HQyYFg,Pine Street Pizza,"Pizza, Restaurants",3.0,62,3.111111111111111,54,0.2311199663965226,0.5,0.2688800336034774,High Q / Low Pop (Oportunidad),2007-09-22 17:11:58,2018-10-09 18:24:21
-3e3CP3FFc-rvJj_-_airw,Penn's Landing,"Arts & Entertainment, Active Life, Skating Rinks, Local Flavor, Parks, Music Venues, Nightlife",3.5,80,3.72972972972973,74,0.3153695817693269,0.625,0.3096304182306731,High Q / Low Pop (Oportunidad),2006-11-25 20:34:43,2021-09-12 14:19:47
-3m_nXlyvdKAVNNmVirpGQ,Rana Halal Cuisine,"Halal, Restaurants, Middle Eastern",3.5,14,3.8333333333333335,12,0.5888174950585466,0.625,0.03618250494145335,High Q / Low Pop (Oportunidad),2011-01-09 18:55:19,2021-07-10 21:42:41
-40qQXB8JsneSiDqXMjoeg,Grill Fish Café,"Asian Fusion, Vietnamese, Seafood, Restaurants",4.0,14,3.769230769230769,13,0.7138174950585466,0.75,0.03618250494145335,High Q / Low Pop (Oportunidad),2012-01-28 03:54:58,2014-09-12 15:26:54
-4HMjEGQgduIMMTe0WPQBA,The Trocadero Theatre,"Nightlife, Cinema, Music Venues, Arts & Entertainment",3.5,179,3.664772727272727,176,0.1858923529001626,0.625,0.4391076470998374,High Q / Low Pop (Oportunidad),2007-02-16 06:08:48,2019-12-27 18:02:23
-4N4YEobjG89VQsEgqZshg,Pete’s Place,"Korean, Restaurants, Chicken Wings, Asian Fusion",4.0,17,4.176470588235294,17,0.6842542359332957,0.75,0.06574576406670435,High Q / Low Pop (Oportunidad),2020-10-04 12:35:10,2021-06-12 20:12:09
-4dYswJy7SPcbcERvitmIg,Pathmark,"Food, Grocery",2.5,34,2.588235294117647,34,0.20142898958847802,0.375,0.17357101041152198,Low Q / Low Pop,2007-02-08 17:23:18,2015-08-10 02:07:49
-5Rah4ZvWsDu4oilUZxhtw,World Cafe Live,"Nightlife, Arts & Entertainment, Restaurants, Music Venues, American (New), Bars, Jazz & Blues",4.0,350,3.8292682926829267,328,0.20260448425707,0.75,0.54739551574293,High Q / High Pop,2006-05-03 22:26:41,2022-01-16 20:41:17
-5ink0kIoVfuS5Zi_6QBnQ,Liberties Parcel,"Notaries, Local Services, Screen Printing, Shipping Centers",5.0,72,4.946428571428571,56,0.7072314104051276,1.0,0.29276858959487245,High Q / Low Pop (Oportunidad),2010-08-12 14:02:11,2021-11-01 19:04:59
-5jh7Rgm_jP2SclLrZG80A,CeCe Boutique - Suburban Station,"Shopping, Fashion, Women's Clothing",3.5,12,3.5555555555555554,9,0.6120211545488627,0.625,0.012978845451137224,High Q / Low Pop (Oportunidad),2007-12-11 13:07:25,2018-12-18 15:05:45
-5uzjjKUA-kt81j605d5Jg,Balance Chiropractic Health Center & Spa,"Massage, Active Life, Health & Medical, Fitness & Instruction, Chiropractors, Beauty & Spas, Dance Studios, Acupuncture, Yoga",4.0,113,4.0227272727272725,88,0.3849552736434121,0.75,0.3650447263565879,High Q / Low Pop (Oportunidad),2007-02-14 05:07:51,2020-01-28 01:26:14
-63ytt5vkWof-M9NDGTkng,Crown Fried Chicken,"Restaurants, American (Traditional), Chicken Wings",2.5,15,2.3333333333333335,12,0.3283526380361445,0.375,0.04664736196385548,Low Q / Low Pop,2015-02-20 03:08:42,2022-01-17 21:00:48
-6AjXJIUlbGSUohUzg9-iA,Liberty Bell Bicycle,"Sporting Goods, Bikes, Shopping",3.0,13,3.4166666666666665,12,0.47500462056049125,0.5,0.024995379439508726,High Q / Low Pop (Oportunidad),2012-01-28 21:36:28,2021-09-04 20:58:04
-6MEKOmFu6jckT3pruSxHg,CVS Pharmacy,"Drugstores, Pharmacy, Convenience Stores, Food, Shopping, Health & Medical",2.0,23,2.1818181818181817,22,0.1376068739694401,0.25,0.1123931260305599,Low Q / Low Pop,2009-01-13 19:16:05,2019-09-19 18:03:52
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,"Salad, Restaurants, Juice Bars & Smoothies, Vegan, Vegetarian, Food, Coffee & Tea",4.0,79,4.147540983606557,61,0.44238388103357146,0.75,0.30761611896642854,High Q / Low Pop (Oportunidad),2016-07-31 20:33:11,2020-01-07 15:51:14
-7KyK-QIAjFicDhpifwbPw,Mr Bar Stool,"Kitchen & Bath, Furniture Stores, Home & Garden, Shopping, Appliances, Home Decor",4.0,16,3.6666666666666665,9,0.6935224158965042,0.75,0.05647758410349576,High Q / Low Pop (Oportunidad),2007-02-07 18:29:07,2021-02-28 20:52:02
-8-8mbxQEpZx8Zs_nrzljA,Ga-In BeautyZone,"Beauty & Spas, Eyelash Service, Shopping, Cosmetics & Beauty Supply",4.5,17,4.444444444444445,9,0.8092542359332957,0.875,0.06574576406670435,High Q / Low Pop (Oportunidad),2016-07-09 19:11:25,2019-04-11 13:01:53
-8iiwnBs4yu4s1yLkWzU9Q,Doggie Style,"Pets, Pet Stores",4.0,22,3.909090909090909,22,0.6445078731242222,0.75,0.1054921268757778,High Q / Low Pop (Oportunidad),2008-10-28 21:38:34,2014-02-28 22:16:24
-9CvbWc-vPYsoioAgZii4Q,Bocca,"Bars, Tapas Bars, Lounges, Nightlife, Mediterranean, Restaurants",3.5,17,3.4705882352941178,17,0.5592542359332957,0.625,0.06574576406670435,High Q / Low Pop (Oportunidad),2009-04-05 17:15:35,2012-03-12 22:07:53
-ATiAtTikuGuqvaW2O6tNA,Marathon,"Sandwiches, American (New), Lounges, Nightlife, Bars, Restaurants, Breakfast & Brunch",3.5,593,3.454379562043796,548,-0.007700988071574266,0.625,0.6327009880715743,High Q / High Pop,2006-07-28 02:56:48,2022-01-13 18:34:18
-AanHawaDlzWHQjrqRRWig,Au Bon Pain,"Bakeries, Restaurants, Food, Cafes",2.5,42,2.731707317073171,41,0.16805028370796604,0.375,0.20694971629203396,Low Q / Low Pop,2011-02-13 02:08:21,2019-06-14 14:40:26
-AbzJTLQdbdQrhRzQLgsKA,Kingyo,"Sushi Bars, Restaurants, Japanese",3.5,11,3.642857142857143,14,0.625,0.625,0.0,High Q / Low Pop (Oportunidad),2009-06-17 02:19:57,2010-07-29 12:33:33
-Ah-gbZpa-IiQVIrhKRhhA,Saigon Cuisine,"Food, Restaurants, Vietnamese, Chinese",3.0,80,3.1971830985915495,71,0.1903695817693269,0.5,0.3096304182306731,High Q / Low Pop (Oportunidad),2013-01-21 00:40:51,2017-01-03 19:15:30
-BLVl824WRLFIm_uiHmkbA,Epicure Cafe,"Breakfast & Brunch, Food, Sandwiches, Cafes, Restaurants, Coffee & Tea, Delis",3.0,91,3.2098765432098766,81,0.1697216210631024,0.5,0.3302783789368976,High Q / Low Pop (Oportunidad),2010-05-23 15:35:00,2017-09-07 05:51:47
-BhSR6dAry5-2x3ndjX_9w,Meister's Barber Shop,"Beauty & Spas, Barbers, Hair Salons, Men's Hair Salons",4.0,79,4.14,50,0.44238388103357146,0.75,0.30761611896642854,High Q / Low Pop (Oportunidad),2015-10-24 21:01:43,2021-06-20 01:22:52
-Bhoyo7LL97tgt9Hze0Saw,Colombian Bakery,"Bakeries, Latin American, Restaurants, Colombian, Food",4.5,16,4.75,12,0.8185224158965042,0.875,0.05647758410349576,High Q / Low Pop (Oportunidad),2012-09-21 15:23:24,2021-08-08 13:43:14
-BjXcRcvDqOQ23eUKx6hjg,Brew,"Beer, Wine & Spirits, Nightlife, Beer Bar, Coffee & Tea, Breweries, Food, Internet Cafes, Bars",4.5,209,4.35,200,0.41089697346065385,0.875,0.46410302653934615,High Q / Low Pop (Oportunidad),2009-05-10 22:33:17,2018-05-21 17:08:52
-Bl2AA2Ujp1EBp0hEw6sIA,CVS Pharmacy,"Shopping, Drugstores, Health & Medical, Food, Pharmacy, Convenience Stores",2.5,27,2.56,25,0.23761149452993138,0.375,0.13738850547006862,Low Q / Low Pop,2008-10-09 02:56:10,2021-02-11 19:24:45
-CIZAVxbJ9RDWl9Xx9kzOg,Deeper Than Hair,"Hair Salons, Beauty & Spas",3.0,19,3.5,10,0.4171701330946912,0.5,0.08282986690530883,High Q / Low Pop (Oportunidad),2016-04-27 23:13:08,2019-07-17 17:18:32
-CRjqZ4GxZ6lIa_qMj7-yw,Spring Chinese Restaurant,"Chinese, Restaurants",3.5,58,3.347826086956522,46,0.3667565005186615,0.625,0.2582434994813385,High Q / Low Pop (Oportunidad),2008-05-28 18:34:15,2021-10-23 17:57:02
-Cf4TdTeHqdk3ZmK9_4p3w,Nobility Nail Salon,"Beauty & Spas, Nail Salons",3.5,14,3.7333333333333334,15,0.5888174950585466,0.625,0.03618250494145335,High Q / Low Pop (Oportunidad),2013-02-13 05:02:38,2020-03-01 23:55:09
-CoVlGcw8nOmkp_ASc_DIQ,AMC Broadstreet 7,"Cinema, Arts & Entertainment",2.5,51,2.5714285714285716,42,0.13723490248774298,0.375,0.23776509751225702,Low Q / Low Pop,2017-01-13 16:06:47,2022-01-14 04:21:06
-DGsnMlRrR_tv8avrpQLQw,Sam's Morning Glory Diner,"Breakfast & Brunch, Restaurants, Diners",4.0,741,3.9207492795389047,694,0.08122573501774777,0.75,0.6687742649822522,High Q / High Pop,2006-06-06 19:54:01,2022-01-02 16:36:04
-D_3emciINpjvYXsHCf8OA,AKA Rittenhouse Square,"Real Estate, Home Services, Event Planning & Services, Hotels, Hotels & Travel, Apartments",4.5,38,4.212121212121212,33,0.6838822644515985,0.875,0.19111773554840147,High Q / Low Pop (Oportunidad),2009-05-20 22:02:13,2019-11-16 11:40:20
-E5FEJIZdmwV7A1XGdhUeA,Baltimore Crab & Seafood,"Food, Specialty Food, Seafood Markets",3.0,20,2.764705882352941,17,0.40925885649378685,0.5,0.09074114350621315,High Q / Low Pop (Oportunidad),2009-07-14 19:03:51,2016-09-16 20:58:24
-FMI0_EhMjwXaAgHVGuG2Q,Route 6,"Restaurants, Seafood",4.0,214,3.7676767676767677,198,0.28208152670539294,0.75,0.46791847329460706,High Q / Low Pop (Oportunidad),2011-12-01 15:53:53,2014-07-25 21:04:30
-HewctWQ0P3HqKCr76bU-g,Dawson Street Pub,"Nightlife, Pubs, Bars, Gastropubs, Restaurants",4.0,76,3.918918918918919,74,0.44858141268344554,0.75,0.30141858731655446,High Q / Low Pop (Oportunidad),2008-10-29 15:28:49,2020-10-07 12:41:25
-IRJAg0tkspFukxKY87TBA,Blue Mountain Vineyards & Cellars,"Wineries, Arts & Entertainment, Food",4.5,16,4.3125,16,0.8185224158965042,0.875,0.05647758410349576,High Q / Low Pop (Oportunidad),2018-12-30 00:30:07,2020-12-04 09:02:18
-IZpkWsJKfq35eJLzaUcvA,U Bar,"Gay Bars, Bars, Nightlife",3.5,58,3.4909090909090907,55,0.3667565005186615,0.625,0.2582434994813385,High Q / Low Pop (Oportunidad),2012-10-14 23:37:22,2021-04-11 20:13:20
-Is2hkDjuguxmahjh8Spjw,KC's Car Wash,"Automotive, Car Wash, Auto Detailing",3.0,46,3.107142857142857,28,0.2786275373038365,0.5,0.22137246269616354,High Q / Low Pop (Oportunidad),2011-05-08 17:04:20,2021-08-02 18:26:18
-IxZMOReWDCJDD-A2N92_Q,BJ's Wholesale Club,"Shopping Centers, Department Stores, Grocery, Travel Services, Car Rental, Wholesale Stores, Hotels & Travel, Food, Fashion, Shopping",2.0,46,2.0,41,0.028627537303836464,0.25,0.22137246269616354,Low Q / Low Pop,2008-06-01 17:47:08,2021-08-07 19:07:40
-K80PQ45I5AeYWSCcEcy6g,Vivid Salon,"Hair Salons, Beauty & Spas",4.5,14,4.0,4,0.8388174950585466,0.875,0.03618250494145335,High Q / Low Pop (Oportunidad),2014-09-20 15:40:58,2019-05-02 23:37:43
-KWel73upKHxstRCr9JGLw,Smokey Joe's Tavern,"Bars, Dive Bars, Pizza, Nightlife, Restaurants",3.5,94,3.4216867469879517,83,0.28951853276866313,0.625,0.33548146723133687,High Q / Low Pop (Oportunidad),2007-01-25 16:35:53,2021-09-01 21:20:01
-KoF5X8toS6VBY3DvNeuDA,Castor Pizza,"Restaurants, Pizza",3.5,14,3.9166666666666665,12,0.5888174950585466,0.625,0.03618250494145335,High Q / Low Pop (Oportunidad),2012-04-30 16:31:27,2021-03-07 15:53:26
-LoYGjfeHbGklgmiJU9EMQ,The Other Wedding DJ,"Event Planning & Services, DJs",5.0,28,5.0,9,0.8569214719189461,1.0,0.14307852808105392,High Q / Low Pop (Oportunidad),2017-09-09 01:10:39,2019-11-24 19:54:48
-MkngKKkTIVfnUbq2S1ucQ,Square Pie,"Pizza, Restaurants, Italian",4.5,46,4.384615384615385,39,0.6536275373038365,0.875,0.22137246269616354,High Q / Low Pop (Oportunidad),2014-11-09 01:26:47,2015-10-20 00:14:14
-N1WjsJUama2LpA668ctbA,Town Food Market,"Food, Grocery, Convenience Stores, Beer, Wine & Spirits",3.5,18,3.466666666666667,15,0.5504872897712363,0.625,0.0745127102287637,High Q / Low Pop (Oportunidad),2007-07-21 05:45:50,2015-03-31 00:45:58
-NBNpfXO_WlUJFprqDtcSg,Kung Fu Necktie,"Dive Bars, Bars, Music Venues, Arts & Entertainment, Nightlife",3.5,171,3.6503067484662575,163,0.1932640316468463,0.625,0.4317359683531537,High Q / Low Pop (Oportunidad),2008-09-17 13:55:38,2021-08-17 01:11:36
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,"Vegetarian, Live/Raw Food, Vegan, Restaurants",4.5,45,4.694444444444445,36,0.6571147470936622,0.875,0.2178852529063377,High Q / Low Pop (Oportunidad),2015-03-30 15:29:40,2021-09-23 05:27:29
-NQgfwpVyvDlA7pmmeNwrg,Superior Auto Care,"Automotive, Auto Repair",4.5,28,4.764705882352941,17,0.7319214719189461,0.875,0.14307852808105392,High Q / Low Pop (Oportunidad),2010-05-28 15:20:05,2021-12-14 18:26:29
-OIUunijjcq_ZzyyQhPPFQ,Zorba's Taverna,"Restaurants, Greek, Mediterranean",4.5,510,4.25635593220339,472,0.2667040148377946,0.875,0.6082959851622054,High Q / High Pop,2007-10-10 03:17:29,2022-01-14 16:48:54
-OPowcQMNgdjzofWhD9uvw,Chinese Tai Chi Center,"Massage Therapy, Health & Medical, Massage, Beauty & Spas, Occupational Therapy",3.0,17,3.5384615384615383,13,0.43425423593329565,0.5,0.06574576406670435,High Q / Low Pop (Oportunidad),2012-03-30 21:40:55,2018-05-20 23:21:34
-Om8XgP9GZ4UUFbgTRI4YQ,Martha,"Bars, Restaurants, Cocktail Bars, Nightlife, American (New), Sandwiches",4.0,155,4.2748091603053435,131,0.3340960123904787,0.75,0.4159039876095213,High Q / Low Pop (Oportunidad),2015-12-14 03:13:22,2022-01-15 22:02:09
-Or44IdY51Ukd618kikmtA,Federal Donuts,"Restaurants, Donuts, Chicken Wings, Food, Coffee & Tea",4.0,321,4.127450980392157,306,0.21658735152632935,0.75,0.5334126484736706,High Q / High Pop,2014-06-05 15:38:39,2021-12-31 20:14:18
-PMXnNJ1D67NkAupRHNkpQ,Domino's Pizza,"Restaurants, Pizza, Italian, Chicken Wings, Sandwiches",1.5,25,1.875,16,-0.00037197148169712535,0.125,0.12537197148169713,Low Q / Low Pop,2012-02-19 00:25:37,2020-12-28 23:25:53
-PqeUUIN8Qgqhv5KMiRfHA,Hue Fusion Food Market,"Sandwiches, Specialty Food, Korean, Food, Delis, Burgers, Restaurants, Ethnic Food, Convenience Stores, Grocery, Asian Fusion, American (New)",4.5,30,4.173913043478261,23,0.7211075318649371,0.875,0.1538924681350628,High Q / Low Pop (Oportunidad),2013-04-15 21:45:46,2021-11-16 20:45:32
-Q9gvLmYlv68lT9Z2kH09g,Sweat Fitness,"Active Life, Fitness & Instruction, Trainers, Gyms, Cycling Classes",2.5,11,2.1666666666666665,6,0.375,0.375,0.0,Low Q / Low Pop,2019-04-08 23:32:01,2021-12-06 14:11:28
-QI8Qi8XWH3D8y8ethnajA,Philadelphia International Airport - PHL,"Professional Services, Airports, Local Services, Hotels & Travel",2.5,2149,2.6150943396226416,2120,-0.4662803563277401,0.375,0.8412803563277401,Low Q / High Pop,2005-11-11 02:26:35,2022-01-08 19:52:25
-R3PWE4ycIc-xElcPqqetw,Supercuts,"Beauty & Spas, Barbers, Cosmetics & Beauty Supply, Shopping, Hair Salons, Men's Hair Salons, Hair Stylists",3.0,30,3.4074074074074074,27,0.3461075318649372,0.5,0.1538924681350628,High Q / Low Pop (Oportunidad),2009-04-19 21:23:05,2021-12-08 01:45:39
-RckAAIJ-_KH0AzqrekYuw,M2O Burgers & Salads,"Juice Bars & Smoothies, Salad, Restaurants, Food, Burgers, American (Traditional)",4.0,111,4.263736263736264,91,0.38782524246881167,0.75,0.36217475753118833,High Q / Low Pop (Oportunidad),2018-03-15 18:28:00,2022-01-17 15:24:22
-RpUSbVtSGO9LZwMzGogww,Tina’s tacos,"Nightlife, Bars, Tacos, Restaurants, Mexican",3.0,46,2.9444444444444446,36,0.2786275373038365,0.5,0.22137246269616354,High Q / Low Pop (Oportunidad),2021-04-01 00:03:37,2021-12-20 18:57:58
-TW-0EqgnzUNHzV9VPSLoQ,Nori Ramen & Poke Bowl,"Seafood, Ramen, Restaurants, Hawaiian, Japanese",4.0,15,4.090909090909091,11,0.7033526380361446,0.75,0.04664736196385548,High Q / Low Pop (Oportunidad),2021-10-04 19:48:33,2022-01-07 22:15:45
-T_lkOvaK39R-Ufg6VUyxg,Magpie,"Desserts, Food, Coffee & Tea, Restaurants",4.5,308,4.3566666666666665,300,0.34826955560601114,0.875,0.5267304443939889,High Q / High Pop,2012-09-01 16:10:37,2021-10-31 08:24:59
-TdNv5o5J2JjTmIuAbIWzw,East Falls Family Dentistry,"General Dentistry, Dentists, Health & Medical",3.5,14,3.5,6,0.5888174950585466,0.625,0.03618250494145335,High Q / Low Pop (Oportunidad),2015-06-10 21:13:30,2020-10-12 03:07:23
-Ti5pwj6mA99khsxxur8aQ,Ambrosia Ristorante BYOB,"Restaurants, Italian",4.5,141,4.586776859504132,121,0.4743427130692618,0.875,0.4006572869307382,High Q / Low Pop (Oportunidad),2019-05-27 15:30:55,2022-01-17 18:24:46
-U1GtVyd_kUo9a2P6pYFsQ,L&H Bridal,"Formal Wear, Bridal, Men's Clothing, Fashion, Shopping",3.5,74,3.489795918367347,49,0.3278487380559736,0.625,0.2971512619440264,High Q / Low Pop (Oportunidad),2011-11-17 19:20:17,2022-01-05 01:23:49
-UJ7ZTb3zfmqZogmy3fnGg,Bellini,"Wine Bars, Venues & Event Spaces, Event Planning & Services, Restaurants, Cocktail Bars, Italian, Bars, Nightlife",3.0,318,3.188841201716738,233,-0.03189486198865943,0.5,0.5318948619886594,High Q / High Pop,2006-10-15 17:37:52,2022-01-18 18:48:33
-UgmhgFa6biagbAXEPpNhA,H. K. Golden Phoenix,"Dim Sum, Restaurants, Chinese",2.5,22,2.5238095238095237,21,0.2695078731242222,0.375,0.1054921268757778,Low Q / Low Pop,2007-09-03 03:23:10,2019-02-02 01:55:36
-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,"Restaurants, Cafes, Creperies",3.5,146,3.289855072463768,138,0.21873146092645396,0.625,0.40626853907354604,High Q / Low Pop (Oportunidad),2006-01-01 00:55:37,2016-03-12 18:07:31
-VEGatH4Ea3anbCS4wjgIQ,Jade Harbor,"Dim Sum, Chinese, Cantonese, Restaurants",3.5,98,3.5698924731182795,93,0.28283102805625,0.625,0.34216897194375,High Q / Low Pop (Oportunidad),2013-10-17 01:01:06,2022-01-16 09:36:11
-VGUpTEsCUE9gJk50gbU6w,JetBlue,"Airports, Food, Transportation, Shopping, Hotels & Travel, Airlines",3.5,19,3.933333333333333,15,0.5421701330946912,0.625,0.08282986690530883,High Q / Low Pop (Oportunidad),2014-04-18 12:08:20,2020-04-10 21:19:48
-VH4B5o1sjZueC6go9FB1g,Dorsey's,"Restaurants, Bars, American (New), Lounges, Nightlife",2.5,13,2.4166666666666665,12,0.35000462056049125,0.375,0.024995379439508726,Low Q / Low Pop,2014-03-13 00:52:07,2019-04-17 01:31:16
-X6ITNozAhXT4uVBjdCBUA,Absolute Smile,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists, Periodontists, Financial Services, Endodontists",3.5,17,4.428571428571429,7,0.5592542359332957,0.625,0.06574576406670435,High Q / Low Pop (Oportunidad),2012-01-27 21:08:06,2018-01-04 15:59:01
-XClcHTlMjH-PBqV2l_KXA,Pennsylvania Dental Group,"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists",4.5,21,4.5,14,0.7767156822202186,0.875,0.0982843177797814,High Q / Low Pop (Oportunidad),2011-05-20 04:04:43,2020-09-18 00:39:57
-Xbd9fxhkZtKVmIUi7me1Q,Yo Bus,"Hotels & Travel, Public Transportation, Transportation",3.5,11,3.3,10,0.625,0.625,0.0,High Q / Low Pop (Oportunidad),2013-06-20 19:01:12,2015-11-24 13:57:17
-YTipfQ0Yj0iF7m921rhmQ,Foose Grill,"American (Traditional), Seafood, Restaurants, Event Planning & Services, Caterers",4.5,11,4.333333333333333,6,0.875,0.875,0.0,High Q / Low Pop (Oportunidad),2017-02-22 00:15:53,2021-05-12 12:23:37
-ZeEseRyVaUDYq2QimamBg,Eastern Pass Tattoo,"Tattoo, Beauty & Spas",4.5,32,4.76,25,0.7109699181535143,0.875,0.16403008184648576,High Q / Low Pop (Oportunidad),2014-12-17 04:45:56,2021-08-23 17:48:54
-_0w82rV27l51N3ABkCI0A,Prima Pizza Taqueria Mexicana,"Pizza, Mexican, Restaurants",4.5,126,4.6,115,0.4924450233701561,0.875,0.3825549766298439,High Q / Low Pop (Oportunidad),2007-02-27 18:27:31,2021-12-08 12:44:32
-aZnEYYTqwE5Hc5YKp_HjQ,Jack B Fabrics,"Shopping, Arts & Crafts, Fabric Stores",4.0,18,4.1875,16,0.6754872897712363,0.75,0.0745127102287637,High Q / Low Pop (Oportunidad),2011-09-17 23:53:02,2020-07-19 21:47:38
-amg4-vvrHNPIzRDKF2Axg,Derkas Auto Body,"Body Shops, Auto Repair, Automotive, Towing",2.5,18,2.1666666666666665,12,0.3004872897712363,0.375,0.0745127102287637,Low Q / Low Pop,2008-06-06 20:36:22,2021-11-05 17:19:21
-b6YqNf1yR1ZJbDCsygrxQ,Wendy's,"Fast Food, Restaurants, Burgers",1.5,16,1.5,10,0.06852241589650424,0.125,0.05647758410349576,Low Q / Low Pop,2011-02-06 02:22:16,2020-10-11 22:50:25
-b8iNhBez0hRu478nIDhyg,Swift Half,"Nightlife, Food, Beer, Wine & Spirits, Restaurants, Gastropubs, Pubs, Bars",3.5,82,3.3563218390804597,87,0.31141453190122026,0.625,0.31358546809877974,High Q / Low Pop (Oportunidad),2009-05-25 01:11:08,2011-03-20 20:26:32
-c7kNz3HjL3xc0LNBkTM8w,Strictly Seafood,"Restaurants, Salad, Sandwiches, Seafood",3.0,20,3.210526315789474,19,0.40925885649378685,0.5,0.09074114350621315,High Q / Low Pop (Oportunidad),2017-08-04 22:08:30,2021-04-27 13:52:59
-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,"Restaurants, Gelato, Coffee & Tea, Food, Italian, Bakeries",4.5,1138,4.339268051434224,1011,0.13673568900076682,0.875,0.7382643109992332,High Q / High Pop,2014-12-27 15:47:00,2022-01-16 22:06:01
-cLmu1wRg6DXCTl_MDo8EA,Pole Haus,"Fitness & Instruction, Active Life, Dance Studios",4.5,33,4.607142857142857,28,0.7061292898659444,0.875,0.16887071013405566,High Q / Low Pop (Oportunidad),2014-07-19 01:15:52,2018-11-22 15:49:50
-cSHu3A9IalZn8s7NGJagw,Phila Massages,"Health & Medical, Massage Therapy, Active Life, Beauty & Spas, Massage",5.0,84,4.766233766233766,77,0.6825536588939312,1.0,0.3174463411060689,High Q / Low Pop (Oportunidad),2010-11-08 23:33:37,2020-07-29 00:30:02
-cvHG83A7-kepbveSr4HYg,Powerback Rehabilitation Center,"Rehabilitation Center, Health & Medical",2.0,25,1.5294117647058822,17,0.12462802851830287,0.25,0.12537197148169713,Low Q / Low Pop,2014-05-21 19:17:06,2020-03-31 09:42:19
